businesszip,target
98498-4798,0.008849557522123894
98499,0.39823008849557523
98499-3004,0.008849557522123894
98499-7900,0.035398230088495575
98500,0.008849557522123894
98501,0.09734513274336283
98501-4403,0.008849557522123894
98501-5459,0.008849557522123894
98502,0.5221238938053098
98502-2704,0.008849557522123894
98502-5483,0.008849557522123894
98502-8144,0.008849557522123894
98503,0.168141592920354
98503-1138,0.008849557522123894
98504,0.008849557522123894
98504-7853,0.008849557522123894
98504-7866,0.008849557522123894
98506,0.3274336283185841
98506-5030,0.02654867256637168
98506-5166,0.008849557522123894
98507,0.02654867256637168
98509,0.035398230088495575
98509-5007,0.008849557522123894
98509-5396,0.008849557522123894
98511,0.008849557522123894
98512,0.07079646017699115
98513,0.017699115044247787
98516,0.19469026548672566
98520,0.22123893805309736
98520-1099,0.008849557522123894
98520-1787,0.017699115044247787
98520-2599,0.04424778761061947
98520-3514,0.008849557522123894
98528,0.008849557522123894
98531,0.07964601769911504
98531-8892,0.008849557522123894
98532,0.08849557522123894
98541,0.05309734513274336
98542,0.017699115044247787
98550,0.017699115044247787
98563,0.008849557522123894
98564,0.008849557522123894
98565,0.008849557522123894
98569,0.017699115044247787
98577,0.017699115044247787
98584,0.11504424778761062
98586,0.008849557522123894
98595,0.008849557522123894
98596,0.02654867256637168
98597,0.02654867256637168
98604,0.02654867256637168
98604-7247,0.008849557522123894
98607,0.02654867256637168
98611,0.008849557522123894
98620,0.04424778761061947
98624,0.008849557522123894
98626,0.05309734513274336
98631,0.017699115044247787
98632,0.22123893805309736
98640,0.04424778761061947
98642,0.02654867256637168
98660,0.05309734513274336
98660-2607,0.008849557522123894
98661,0.08849557522123894
98661-4381,0.02654867256637168
98662,0.09734513274336283
98662-6654,0.02654867256637168
98663,0.07079646017699115
98664,0.168141592920354
98665,0.12389380530973451
98668,0.008849557522123894
98671,0.017699115044247787
98672,0.017699115044247787
98682,0.3008849557522124
98683,1.247787610619469
98684,0.2743362831858407
98684-3294,0.008849557522123894
98684-5054,0.008849557522123894
98685,0.017699115044247787
98686,0.1415929203539823
98687,0.035398230088495575
98687-7710,0.17699115044247787
98693,0.008849557522123894
98801,0.25663716814159293
98802,0.04424778761061947
98807,0.017699115044247787
98807-2970,0.008849557522123894
98812,0.008849557522123894
98816,0.008849557522123894
98823,0.017699115044247787
98825,0.017699115044247787
98826-509,0.008849557522123894
98837,0.07964601769911504
98837-1899,0.017699115044247787
98840,0.008849557522123894
98840-1340,0.017699115044247787
98848-1366,0.008849557522123894
98855,0.008849557522123894
98858,0.008849557522123894
98901,0.05309734513274336
98902,0.37168141592920356
98903,0.07079646017699115
98908,0.07964601769911504
98908-8957,0.008849557522123894
98909,0.008849557522123894
98922,0.017699115044247787
98926,0.07964601769911504
98930,0.008849557522123894
98937,0.008849557522123894
98944,0.1415929203539823
98944-0199,0.008849557522123894
98944-1622,0.008849557522123894
98944-2263,0.008849557522123894
98948,0.017699115044247787
98951,0.008849557522123894
98952,0.008849557522123894
99003,0.008849557522123894
99004,0.008849557522123894
99006,0.02654867256637168
99006-7025,0.008849557522123894
99016,0.008849557522123894
99019,0.035398230088495575
99019-7571,0.008849557522123894
99021,0.008849557522123894
99022,0.035398230088495575
99037,0.008849557522123894
99111,0.008849557522123894
99114,0.04424778761061947
99122,0.008849557522123894
99133,0.008849557522123894
99156,0.017699115044247787
99163,0.035398230088495575
99169,0.017699115044247787
99201,0.415929203539823
99201-2421,0.008849557522123894
99202,0.1415929203539823
99202-1330,0.008849557522123894
99203,0.04424778761061947
99204,0.23893805309734514
99204-2339,0.008849557522123894
99204-2341,0.017699115044247787
99205,0.1415929203539823
99206,0.061946902654867256
99206-3510,0.008849557522123894
99206-4074,0.07079646017699115
99207,0.08849557522123894
99208,0.12389380530973451
99210-2148,0.061946902654867256
99212,0.07079646017699115
99212-2868,0.008849557522123894
99214,0.017699115044247787
99216,0.21238938053097345
99217,0.008849557522123894
99218,0.23008849557522124
99218-1219,0.017699115044247787
99220,0.12389380530973451
99220-2688,0.017699115044247787
99220-2814,0.04424778761061947
99220-3405,0.035398230088495575
99220-3649,0.061946902654867256
99220-3867,0.008849557522123894
99223,0.05309734513274336
99223-4800,0.008849557522123894
99224,0.017699115044247787
99254,0.008849557522123894
99297,0.008849557522123894
99301,0.12389380530973451
99324,0.035398230088495575
99328,0.017699115044247787
99336,0.35398230088495575
99337,0.04424778761061947
99338,0.061946902654867256
99347,0.008849557522123894
99350,0.008849557522123894
99352,0.23893805309734514
99352-3514,0.07079646017699115
99352-4715,0.008849557522123894
99352-5007,0.008849557522123894
99354,0.04424778761061947
99362,0.09734513274336283
99403,0.02654867256637168
99403-6009,0.13274336283185842
99801,0.008849557522123894
M1N1P-3,0.008849557522123894
